,aldh1a2_4mer_apo.1,aldh1a2_4mer_apo.2,aldh1a2_4mer_apo.3,aldh1a2_4mer_apo_lig.1,aldh1a2_4mer_apo_lig.2,aldh1a2_4mer_apo_lig.3,aldh1a2_4mer_nad.1,aldh1a2_4mer_nad.2,aldh1a2_4mer_nad.3,aldh1a2_4mer_nad_lig.1,aldh1a2_4mer_nad_lig.2,aldh1a2_4mer_nad_lig.3,aldh2_4mer_apo.1,aldh2_4mer_apo.2,aldh2_4mer_apo.3,aldh2_4mer_apo_lig.1,aldh2_4mer_apo_lig.2,aldh2_4mer_apo_lig.3,aldh2_4mer_nad.1,aldh2_4mer_nad.2,aldh2_4mer_nad.3,aldh2_4mer_nad_lig.1,aldh2_4mer_nad_lig.2,aldh2_4mer_nad_lig.3
0,423.09000000000003,422.875,396.7375,465.10249999999996,446.415,458.51,371.6825,356.2375,356.7225,441.56,438.105,438.1,166.05,168.315,168.7525,338.79499999999996,337.12,333.9375,136.9425,139.53750000000002,138.835,303.80500000000006,314.495,309.58
1,372.33500000000004,301.86,283.33500000000004,517.05,530.2775,507.87250000000006,292.0325,268.76,360.935,487.13500000000005,466.1825,529.4150000000001,305.15250000000003,312.1775,268.92,504.7925,583.7375,504.25000000000006,235.065,326.105,224.3175,432.915,487.08000000000004,492.5325
2,387.2875,333.345,289.82,525.42,583.2,543.1324999999999,301.75,292.085,410.2925,514.405,472.0675,516.24,361.2075,384.155,273.4525,569.485,579.2025,548.9125,271.025,315.735,220.3225,454.3575,443.88,505.8725
3,429.89500000000004,293.705,273.8325,505.44,594.595,571.105,394.145,264.1675,420.28,540.9175,500.58,510.7875,432.10749999999996,356.78000000000003,289.28,549.07,599.6175000000001,542.05,304.6675,317.95000000000005,247.5375,491.885,524.88,457.595
4,424.9825,338.4225,321.135,502.30749999999995,546.05,547.8275,439.07499999999993,323.675,413.37,491.9425,487.83500000000004,508.7875000000001,449.12,347.05499999999995,301.15999999999997,581.74,607.0125,553.0150000000001,284.15000000000003,361.8,303.47749999999996,500.365,481.4075,513.11
5,453.2225,332.7475,280.1,558.3075,583.305,526.2275,382.04999999999995,351.6475,436.5875,483.895,481.67999999999995,548.26,410.72249999999997,361.745,313.735,586.7125,608.2025,499.88,321.03,348.89250000000004,325.2425,478.495,500.2575,482.275
6,413.37,318.6525,235.765,537.03,541.7825,536.1125,418.93,301.59000000000003,378.21500000000003,489.18499999999995,470.50000000000006,503.82250000000005,405.86749999999995,331.23749999999995,306.02000000000004,581.905,558.4675,511.435,278.315,330.3175,382.59250000000003,551.5575,494.045,494.855
7,437.5575,362.3375,274.805,526.985,562.7875,579.2575,444.90500000000003,361.64,504.0875,487.5125,457.9225,549.5550000000001,458.0825,351.8075,267.405,599.4549999999999,586.8725,501.01250000000005,326.10749999999996,378.3775,370.3325,547.9925,485.46,509.005
8,474.765,339.4425,278.5325,556.2,572.345,579.04,390.90749999999997,384.48,483.9475,521.425,464.99249999999995,518.29,476.065,380.43250000000006,342.7375,592.5975000000001,552.04,509.81250000000006,299.86,334.26,405.5425,519.965,485.785,493.7225
9,397.0075,382.265,274.48249999999996,560.5725,536.49,535.14,426.2725,404.89250000000004,496.58750000000003,538.2725,465.9675,498.2575,496.1,376.65,296.94,620.4075,588.115,521.6424999999999,278.53499999999997,357.42499999999995,387.07,532.3299999999999,494.855,513.3775
